specimen,specimen_key,drive_label,run_index,frequency_hz,omega_rad_s,vx_fit_r2,vy_fit_r2,vx_equation,vy_equation,display_area_v2,current_peak_A,blank_corrected,blank_slope_T_per_Am,power_loss_density_W_per_m3,files_CH1,files_CH2,loop_area_parametric_J_per_m3,signed_loop_area_parametric_J_per_m3,loop_area_bh,signed_loop_area_bh,energy_loss_per_cycle_per_volume,remanence_B,coercivity_H,initial_slope_dBdH,H_max,H_min,B_max,B_min
Transformer Stampings,transformer_stampings,C-V1,1,50.04192657284142,314.4226977854369,0.9998365508023325,0.9996243677672779,"$V_x(t) = +13.2\sin(1\omega t) -1.31\cos(1\omega t) +0.06457\cos(3\omega t) -0.204\sin(5\omega t) +0.147\cos(5\omega t)$
$\omega = 314.4\,\mathrm{rad\,s^{-1}},\quad f = 50.04\,\mathrm{Hz}$","$V_y(t) = +0.1878\sin(1\omega t) +0.008578\cos(1\omega t) +0.009434\sin(3\omega t) -0.005823\cos(3\omega t) -0.002111\sin(5\omega t)$
$\omega = 314.4\,\mathrm{rad\,s^{-1}},\quad f = 50.04\,\mathrm{Hz}$",5.640889156018147,0.23848925037049176,True,7.352628576227341e-05,23828.012567965165,TEK0003.CSV,TEK0002.CSV,476.16097540291383,-476.16097540291383,476.29235767101636,-476.29235767101636,476.16097540291383,0.010658980812032356,491.8290089871663,2.209296844440167e-05,2215.070436877632,-2185.3916811066447,0.07686528736965013,-0.07652977493114001
Transformer Stampings,transformer_stampings,C-V2,2,49.99865579112608,314.15081944553293,0.9998771016829707,0.999118061678272,"$V_x(t) = +0.05947 +17.03\sin(1\omega t) +1.311\cos(1\omega t) -0.2974\sin(5\omega t) -0.07152\cos(5\omega t)$
$\omega = 314.2\,\mathrm{rad\,s^{-1}},\quad f = 50\,\mathrm{Hz}$","$V_y(t) = +0.1072\sin(1\omega t) -0.003391\cos(1\omega t) +0.002453\sin(3\omega t) -0.002334\cos(3\omega t) -0.001393\sin(5\omega t)$
$\omega = 314.2\,\mathrm{rad\,s^{-1}},\quad f = 50\,\mathrm{Hz}$",3.1347746666617695,0.30660909437077727,True,7.352628576227341e-05,14066.796745216641,TEK0005.CSV,TEK0004.CSV,281.34349859288136,281.34349859288136,264.6868561775773,264.6868561775773,281.34349859288136,0.007069520507532163,132.31304533401882,5.250830858780392e-05,2847.7624864158875,-2821.815406691887,0.1561644415082366,-0.15709199746555466
Transformer Stampings,transformer_stampings,C-V3,3,49.96395302583346,313.9327755405278,0.9998825945603784,0.9992872653091139,"$V_x(t) = +0.06592 +17.32\sin(1\omega t) +3.502\cos(1\omega t) -0.2107\sin(5\omega t) -0.2273\cos(5\omega t)$
$\omega = 313.9\,\mathrm{rad\,s^{-1}},\quad f = 49.96\,\mathrm{Hz}$","$V_y(t) = +0.1127\sin(1\omega t) +0.00973\cos(1\omega t) +0.003651\sin(3\omega t) -0.00138\cos(3\omega t) -0.001622\sin(5\omega t)$
$\omega = 313.9\,\mathrm{rad\,s^{-1}},\quad f = 49.96\,\mathrm{Hz}$",3.5852961556915943,0.31738497665729476,True,7.352628576227341e-05,16744.202200038784,TEK0006.CSV,TEK0007.CSV,335.12564931324243,335.12564931324243,302.7269481304684,302.7269481304684,335.12564931324243,0.007907982218046845,149.1541456445267,5.314330875147729e-05,2947.84808040831,-2917.572108749437,0.1604581301086553,-0.1618603920901147
Ferrite Rod,ferrite_rod,C-V1,4,49.95041266439793,313.8476989405022,0.9997802377244072,0.9994143556371486,"$V_x(t) = +0.04246 +9.334\sin(1\omega t) +0.8195\cos(1\omega t) +0.06697\cos(3\omega t) -0.1864\sin(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$","$V_y(t) = +0.0006448 +0.1364\sin(1\omega t) +0.008029\cos(1\omega t) +0.0008623\sin(3\omega t) -0.002616\sin(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$",0.5845424634721894,0.16779657353792218,True,7.352628576227341e-05,2625.147184972128,TEK0009.CSV,TEK0008.CSV,52.555065012369695,52.555065012369695,49.35624515663949,49.35624515663949,52.555065012369695,0.0025510081247617916,86.38881470122017,2.898895949010171e-05,1558.482107163364,-1540.9702661671138,0.04704533315752872,-0.04755935555431087
Ferrite Rod,ferrite_rod,C-V2,5,49.93113627278241,313.7265817999281,0.9998502481825083,0.9996687505447972,"$V_x(t) = +0.05143 +13.36\sin(1\omega t) +1.122\cos(1\omega t) +0.09972\cos(3\omega t) -0.2731\sin(5\omega t)$
$\omega = 313.7\,\mathrm{rad\,s^{-1}},\quad f = 49.93\,\mathrm{Hz}$","$V_y(t) = +0.0007099 +0.1979\sin(1\omega t) +0.01224\cos(1\omega t) +0.00185\sin(3\omega t) -0.003636\sin(5\omega t)$
$\omega = 313.7\,\mathrm{rad\,s^{-1}},\quad f = 49.93\,\mathrm{Hz}$",0.9346494517512838,0.23906202549842095,True,7.352628576227341e-05,4274.967914062518,TEK0010.CSV,TEK0011.CSV,85.6172767771122,85.6172767771122,78.91776963855955,78.91776963855955,85.6172767771122,0.003278426471081664,113.72084317326261,2.840522481692211e-05,2220.390329706696,-2195.4935562374126,0.06536863901417046,-0.06631093310009573
Ferrite Rod,ferrite_rod,C-V3,6,49.954901819167105,313.8759051317895,0.9998578111920631,0.9996087212655305,"$V_x(t) = +18.09\sin(1\omega t) +1.741\cos(1\omega t) +0.143\cos(3\omega t) -0.3464\sin(5\omega t) -0.08214\cos(5\omega t)$
$\omega = 313.9\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$","$V_y(t) = +0.0005411 +0.1708\sin(1\omega t) +0.008699\cos(1\omega t) +0.001487\sin(3\omega t) -0.003147\sin(5\omega t)$
$\omega = 313.9\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$",2.2224593345958965,0.324410828061918,True,7.352628576227341e-05,10377.999440643494,TEK0012.CSV,TEK0013.CSV,207.7473693815084,207.7473693815084,187.65488330379594,187.65488330379594,207.7473693815084,0.004592165930767613,101.54226038924257,4.47948973129555e-05,3013.1036662097645,-2978.211777832464,0.1359636854251155,-0.13800655139168405
Iron Nail,iron_nail,C-V1,7,49.946118660521876,313.8207189184392,0.9997539659819777,0.9989403074451759,"$V_x(t) = +7.97\sin(1\omega t) +5.004\cos(1\omega t) -0.07874\sin(3\omega t) +0.16\sin(5\omega t) -0.1084\cos(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$","$V_y(t) = +0.09466\sin(1\omega t) +0.008399\cos(1\omega t) +0.001218\sin(3\omega t) -0.002443\cos(3\omega t) -0.000853\cos(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$",6.391104597217691,0.16841221049429994,True,7.352628576227341e-05,27625.494719183214,TEK0014.CSV,TEK0015.CSV,553.1059361579341,553.1059361579341,539.6373147101986,539.6373147101986,553.1059361579341,0.022220135152716168,442.56924645516244,5.049719702407149e-05,1564.200097470278,-1545.5310753830558,0.07613110439136499,-0.07657608449511452
Iron Nail,iron_nail,C-V2,8,49.96804679946085,313.9584974788344,0.9998677365741899,0.9994541343389045,"$V_x(t) = +11.68\sin(1\omega t) +7.396\cos(1\omega t) -0.1141\sin(3\omega t) +0.225\sin(5\omega t) -0.1436\cos(5\omega t)$
$\omega = 314\,\mathrm{rad\,s^{-1}},\quad f = 49.97\,\mathrm{Hz}$","$V_y(t) = +0.1312\sin(1\omega t) +0.01136\cos(1\omega t) +0.002485\sin(3\omega t) -0.003187\cos(3\omega t) -0.001263\cos(5\omega t)$
$\omega = 314\,\mathrm{rad\,s^{-1}},\quad f = 49.97\,\mathrm{Hz}$",13.164097362675648,0.24700486377399788,True,7.352628576227341e-05,56949.56378668276,TEK0016.CSV,TEK0017.CSV,1139.7196295312715,1139.7196295312715,1111.519619702478,1111.519619702478,1139.7196295312715,0.031436556951303554,608.069974435391,5.221478705061857e-05,2294.1628214303205,-2271.8749706932763,0.11383780898599191,-0.1150447049667884
Iron Nail,iron_nail,C-V3,9,49.97420686629727,313.9972023202722,0.9998506020344158,0.9996644021805825,"$V_x(t) = +15.31\sin(1\omega t) +9.683\cos(1\omega t) -0.1551\sin(3\omega t) +0.3309\sin(5\omega t) -0.2091\cos(5\omega t)$
$\omega = 314\,\mathrm{rad\,s^{-1}},\quad f = 49.97\,\mathrm{Hz}$","$V_y(t) = +0.1655\sin(1\omega t) +0.01182\cos(1\omega t) +0.003537\sin(3\omega t) -0.0039\cos(3\omega t) -0.001565\cos(5\omega t)$
$\omega = 314\,\mathrm{rad\,s^{-1}},\quad f = 49.97\,\mathrm{Hz}$",22.34319615662116,0.3230595591737273,True,7.352628576227341e-05,96768.19980346765,TEK0018.CSV,TEK0019.CSV,1936.3628934094872,1936.3628934094872,1886.563142974046,1886.563142974046,1936.3628934094872,0.04100115751763455,773.2741523517752,5.3824951971653205e-05,3000.5531811801297,-2965.9829262898083,0.15230820253106003,-0.1539765802289107
Hacksaw Blade,hacksaw_blade,C-V1,10,49.94914530621894,313.83973589421305,0.9998666253244668,0.999799390933998,"$V_x(t) = +0.0282 +4.732\sin(1\omega t) +0.552\cos(1\omega t) -0.03711\sin(3\omega t) -0.06783\cos(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$","$V_y(t) = +0.002283 +0.3564\sin(1\omega t) -0.03519\cos(1\omega t) +0.005021\sin(3\omega t) -0.001418\sin(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.95\,\mathrm{Hz}$",5.706694930352796,0.08755203452627036,True,7.352628576227341e-05,23798.529231858178,TEK0021.CSV,TEK0020.CSV,476.45518428711,476.45518428711,481.8487135113537,481.8487135113537,476.45518428711,0.03631536927126872,229.5363842890805,0.000203125101265559,813.1767912656688,-801.1095505658184,0.11970773299673727,-0.11781782902384752
Hacksaw Blade,hacksaw_blade,C-V2,11,49.9237775948388,313.6803458627926,0.9998631687529598,0.9998769011433571,"$V_x(t) = +6.409\sin(1\omega t) +0.6182\cos(1\omega t) -0.1233\sin(3\omega t) -0.05732\cos(3\omega t) -0.1096\cos(5\omega t)$
$\omega = 313.7\,\mathrm{rad\,s^{-1}},\quad f = 49.92\,\mathrm{Hz}$","$V_y(t) = +0.468\sin(1\omega t) -0.04892\cos(1\omega t) +0.009637\sin(3\omega t) -0.007656\cos(3\omega t) +0.003508\cos(5\omega t)$
$\omega = 313.7\,\mathrm{rad\,s^{-1}},\quad f = 49.92\,\mathrm{Hz}$",9.400356433641264,0.11991312305856305,True,7.352628576227341e-05,39179.1083410738,TEK0022.CSV,TEK0023.CSV,784.7785209491879,784.7785209491879,793.7255643378885,793.7255643378885,784.7785209491879,0.04426916096658292,290.6793363992199,0.00020517833910333705,1113.7441770145174,-1111.2645657469945,0.14969096714165764,-0.14529200485470192
Hacksaw Blade,hacksaw_blade,C-V3,12,49.937872891860536,313.76890922593986,0.9999057414222722,0.99990137757373,"$V_x(t) = +7.741\sin(1\omega t) +0.7089\cos(1\omega t) -0.2599\sin(3\omega t) -0.1291\cos(3\omega t) -0.1068\cos(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.94\,\mathrm{Hz}$","$V_y(t) = +0.5271\sin(1\omega t) -0.0512\cos(1\omega t) +0.01679\sin(3\omega t) -0.02038\cos(3\omega t) +0.007302\cos(5\omega t)$
$\omega = 313.8\,\mathrm{rad\,s^{-1}},\quad f = 49.94\,\mathrm{Hz}$",11.724044272395986,0.14733959945301417,True,7.352628576227341e-05,48872.63200663795,TEK0024.CSV,TEK0025.CSV,978.6686772276155,978.6686772276155,989.9277460507874,989.9277460507874,978.6686772276155,0.050689148043204894,333.6499537768862,0.00020379481760070224,1368.4792518855804,-1361.1526631165182,0.1570727587613139,-0.15430857831326916
